Name,Shop,Face_Type,Personal_Color,Eye_Position,Hair_Style,Tags,Comment,Image_Filename,Source_URL
ぐっち,東京ドームシティ・ラクーア店,丸顔,イエベ,寄り目,,"#お子様メガネ, #遠近両用, #ヴィンテージ風, #メガネ, #男性におすすめ, #女性におすすめ, #キャンプ, #ゲーム, #音楽鑑賞, #ディズニー","スタッフコメント
2025.12.12
柔軟性に優れたフレーム設計により、長時間快適な装着感です！
細さと軽さを追求したSkinnyデザインは、顔なじみも良く、誰にでも馴染むユニセックスなスタイル。

グリーン×ブラウンの上品なカラーリングは、カジュアルからビッグシェイプまで多彩なコーデに映えるアクセントになります。
メタルパーツが顔回りを明るく見せ、自然な印象を引き立てます。
ぐっち
丸顔イエベ
寄り目
東京ドームシティ・ラクーア店
#男性におすすめ
#女性におすすめ
#ユニセックスにおすすめ
#ヴィンテージ風
#メガネ
#Zoff smart",ぐっち.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56558733
こま,イオンモール木曽川店,丸顔,イエベ,普通,,"#カラーレンズ知識, #認定眼鏡士, #クラシック, #ブルベ夏, #PC作業, #アウトドア, #猫好き, #スニーカー, #犬好き, #料理","スタッフコメント
2025.10.18
クラシックでレトロなスタイルを特徴とするこちらのフレームはコーデの邪魔をせず、柔らかい印象にしてくれます🍀
こま
丸顔イエベ
普通
イオンモール木曽川店",こま.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=54418884
Sara,ミカン下北店,丸顔,ブルベ,寄り目,,"#お子様メガネ, #調整技術, #三角顔, #カジュアル, #お仕事用, #PC作業, #音楽鑑賞, #猫好き, #アート","⭐︎広島出身
⭐︎販売歴4年目
⭐︎INFP
⭐︎0型

メガネはメタルフレームが好きです、
趣味は音楽を聴きながら散歩です、
音楽はhiphop、邦ロック、アイドル、kpopなどが好きです、
服はイロイロな系統を着ます、
好きな色はピンクです、",Sara.jpeg,https://www.zoff.co.jp/shop/contents/staff_list_detail.aspx?staff_id=124928
takoyama,イオンモールむさし村山店,,イエベ,寄り目,,"#コンタクト併用相談, #レンズ知識, #お仕事にも使える, #カジュアル, #男性におすすめ, #女性におすすめ, #音楽鑑賞, #猫好き, #スニーカー","スタッフコメント
2025.12.09
ウェリントン型コンビネーションフレーム
表面は◼️×◻️のグラデーションカラーで遊び心を出しつつウェリントン型で少し真面目な印象も演出👓
チタン素材のものなので掛けやすさもピカイチ✨️
takoyama
卵顔イエベ
寄り目
イオンモールむさし村山店
#男性におすすめ
#女性におすすめ
#ユニセックスにおすすめ
#初心者におすすめ
#お仕事にも使える
#カジュアル
#メガネ
#コンビネーション
#チタン",takoyama.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56422590
ひー,ゆめタウン高松店,ベース型,イエベ,タレ目,,"#フレーム選定, #加工技術, #お仕事にも使える, #カジュアル, #男性におすすめ, #女性におすすめ, #K-POP, #猫好き, #音楽鑑賞, #ゲーム","スタッフコメント
2025.11.24
◽︎顔型 : ベース型丸顔
◽︎顔幅 : やや広め
◽︎瞳 : ややはなれ目/タレ目
◽︎パーソナルカラー : イエベ
◽︎コンプレックス : 頬骨張り、立派な鼻



〖おすすめポイント〗
● 小振りなサイズ感
小さめの玉型なので、カジュアル感が抑えめで知的に見えます。
お顔の小さな方や、強度数の方にもおすすめ！
私がかけると、ややキツめかな…くらいの幅感でした。

● 細めのフレームで、すっきり見え
細めのフチとボストン型なので、重い印象にならず上品にまとまります。
丸すぎない形で、自然に可愛さと親しみやすさが出ます。

● クラシック感があって大人っぽい
金属パーツのアクセントがあり、落ち着いた雰囲気の中に少しおしゃれさがプラスされます。

〖カラー〗
深めのブラウンで、落ち着いた雰囲気です。
柄のニュアンスがあり、“シンプルなのにおしゃれ”に見えます。
お仕事にも使いやすいカラーです◎

ひー
ベース顔イエベ
離れ目
ゆめタウン高松店
#男性におすすめ
#女性におすすめ
#ユニセックスにおすすめ
#お仕事にも使える
#カジュアル
#スタイリッシュ
#メガネ
#ブラウン
#プラスチック
#強度数におすすめ",ひー.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=55842227
hikaru,サクラマチクマモト店,,ブルベ,普通,,"#フィッティング, #お子様メガネ, #お仕事にも使える, #ビックシェイプ, #ユニセックスにおすすめ, #初心者におすすめ, #ゲーム, #旅行, #美容, #サウナ","スタッフコメント
2025.12.09
プラスチックとコンビネーションフレームの絶妙なバランスが、軽やかで快適な掛け心地を実現！

シンプルながらも存在感のあるデザインは、あなたの個性を引き立て、定番アイテムとして長く愛用できます😊
是非お試しください！！
hikaru
卵顔ブルベ
普通
サクラマチクマモト店
#ユニセックスにおすすめ
#初心者におすすめ
#お仕事にも使える
#おうち用におすすめ
#ビックシェイプ
#モード
#カジュアル
#キレイめ
#メガネ
#プラスチック
#コンビネーション",hikaru.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56437459
イト,イオンモール各務原インター店,,イエベ,普通,,"#遠近両用, #強度近視相談, #ヴィンテージ, #ビジネス, #ギフト, #アウトドア, #音楽鑑賞, #映画鑑賞, #サウナ","zoff shop staffのイトです🦭💨

いろんなメガネを投稿していきます〜❕



太めフレームが得意です🤩

服装はカジュアルめ✳️

是非、参考にしてみて下さい･:*+",イト.jpeg,https://www.zoff.co.jp/shop/contents/staff_list_detail.aspx?staff_id=124970
takoyama,イオンモールむさし村山店,,イエベ,寄り目,,"#フレーム選定, #カラーレンズ知識, #ストリート, #フレンチ, #お仕事用, #おうち時間, #映画鑑賞, #アニメ, #アート","埼玉県出身/趣味:カラオケ 映画鑑賞 アニメ鑑賞

親しみやすい接客を特に意識しています！",takoyama.jpeg,https://www.zoff.co.jp/shop/contents/staff_list_detail.aspx?staff_id=128788
こま,イオンモール木曽川店,丸顔,イエベ,普通,,"#フィッティング, #調整技術, #イエベ向け, #べっこう柄, #ユニセックスにおすすめ, #スポーツ, #映画鑑賞, #古着, #スニーカー, #ショッピング","スタッフコメント
2025.11.29
Zoff | TOSHIMITSU

黄身のあるデミ柄が顔周りを華やかにしてくれます🌼
セル巻き仕様で高級感も、こなれ感も兼ね備えていておすすめです🎶
こま
丸顔イエベ
普通
イオンモール木曽川店
#ユニセックスにおすすめ
#イエベ向け
#べっこう柄
#ゴールド
#メガネ
#コンビネーション",こま.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56038242
みすず,ディアモール大阪店,,イエベ,普通,,"#フレーム選定, #お子様メガネ, #カジュアル, #キレイめ, #ユニセックスにおすすめ, #デート, #ディズニー, #読書, #筋トレ","スタッフコメント
2025.12.11
耳が痛くなりにくく、ずれにくいラバーテンプルシリーズの中でも普段使いしやすいフレームです🌿

ネイビーカラーが落ち着いた印象を魅せてくれます🌲
みすず
卵顔イエベ
普通
ディアモール大阪店
#ユニセックスにおすすめ
#カジュアル
#キレイめ
#ラバテン
#メガネ
#コンビネーション",みすず.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56485761
夏,イオンモール橿原店,丸顔,イエベ,普通,,"#調整技術, #お子様メガネ, #お仕事にも使える, #イエベ向け, #ユニセックスにおすすめ, #初心者におすすめ, #旅行, #犬好き, #美容, #カフェ巡り","スタッフコメント
2025.12.11
【軽量素材を使用したコンビネーションフレームのウェリントン型メガネ】

軽やかで付け心地抜群のチタンとプラスチックのコンビネーションフレーム👓
ブラウンのグラデーションフレームで馴染みやすさ抜群✨ユニセックスにおすすめで、初心者の方でもコーデに取り入れやすいです！

長時間快適に着用でき、ファッション性と機能性を兼ねているので、お仕事や普段使いに最適👔

夏
丸顔イエベ
普通
イオンモール橿原店
#ユニセックスにおすすめ
#初心者におすすめ
#お仕事にも使える
#イエベ向け
#黒縁
#キレイめ
#QOLメガネ
#メガネ
#コンビネーション
#チタン",夏.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56514570
uka,イオンモール橿原店,丸顔,イエベ,普通,,"#レンズ知識, #コンタクト併用相談, #黒縁, #太縁, #だてメガネにおすすめ, #アウトドア, #筋トレ, #音楽鑑賞, #写真, #旅行","スタッフコメント
2025.11.22
しっかりめの太縁フレームで、目元をくっきり見せてくれる存在感メガネ🖤

丸みがあるデザインなのでやわらかさもプラスしてくれ、キツくなりすぎずかけやすいです✨

太縁ですが軽量素材なので、長時間でもかけていただけやすいです🪽
uka
丸顔イエベ
普通
イオンモール橿原店
#黒縁
#太縁
#カジュアル
#QOLメガネ
#メガネ
#だてメガネにおすすめ",uka.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=55803631
Sara,ミカン下北店,丸顔,ブルベ,寄り目,,"#レンズ知識, #認定眼鏡士, #太縁, #べっこう柄, #ユニセックスにおすすめ, #初心者におすすめ, #ディズニー, #映画鑑賞, #K-POP","スタッフコメント
2025.11.19
おすすめポイント

⭐︎秋冬にも使いやすいライトカラーのレンズ

⭐︎ピンクのレンズで、血色感アップ

⭐︎太めのフレームで、デカ目効果抜群✨

⭐︎肌馴染みが良いべっこう柄
Sara
丸顔ブルベ
寄り目
ミカン下北店
#ユニセックスにおすすめ
#初心者におすすめ
#上級者におすすめ
#アウトドアにおすすめ
#太縁
#べっこう柄
#モード
#すぐに使えるサングラス
#秋冬におすすめサングラス
#サングラス
#春コーデにおすすめ
#夏コーデにおすすめ
#秋コーデにおすすめ
#冬コーデにおすすめ
#プラスチック",Sara.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=55655826
片田翔悟,イオンモール大高店,面長,ブルベ,普通,,"#フィッティング, #修理マイスター, #フレンチ, #面長, #学習用, #デート, #ショッピング, #スニーカー, #映画鑑賞",,片田翔悟.jpeg,https://www.zoff.co.jp/shop/contents/staff_list_detail.aspx?staff_id=124960
hikaru,サクラマチクマモト店,,ブルベ,普通,,"#修理マイスター, #遠近両用, #お仕事にも使える, #黒縁, #ユニセックスにおすすめ, #初心者におすすめ, #サウナ, #音楽鑑賞, #アート, #筋トレ","スタッフコメント
2025.12.04
黒縁のウェリントン型でモードからカジュアルまで多彩なコーディネートに映えるデザインが魅力です！

軽やかさと耐久性を兼ね備え、初心者からおしゃれを楽しむ方まで幅広くおすすめです！
是非お試しください☺️
hikaru
卵顔ブルベ
普通
サクラマチクマモト店
#ユニセックスにおすすめ
#初心者におすすめ
#お仕事にも使える
#おうち用におすすめ
#黒縁
#モード
#カジュアル
#キレイめ
#メガネ
#プラスチック",hikaru.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56248535
Ayako,ミカン下北店,,イエベ,寄り目,,"#コンタクト併用相談, #カラーレンズ知識, #トレンド, #丸顔, #読書, #おうち時間, #サウナ, #猫好き, #料理","販売歴1年目🌸

イエベ春/卵顔/求心顔PD57



歴が浅い分お客様と同じ視点で

オススメフレームご紹介しています𓈒𓏸



綺麗め上品なメタルフレームや

中顔面短縮見えのビッグシェイプ

が好みです𓍯𓈒𓏸



ミカン下北店でお待ちしてます౨ৎ ݁˖ . ݁",Ayako.jpeg,https://www.zoff.co.jp/shop/contents/staff_list_detail.aspx?staff_id=128778
ぐっち,東京ドームシティ・ラクーア店,丸顔,イエベ,寄り目,,"#修理マイスター, #カラーレンズ知識, #イエベ向け, #ヴィンテージ風, #男性におすすめ, #女性におすすめ, #アニメ, #ゲーム, #筋トレ","スタッフコメント
2025.12.12
東海オンエアとしみつさんとの初コラボフレームです✨
ウェリントンフレームは、アメリカンヴィンテージの雰囲気とカジュアルなスタイルを融合させたユニセックスデザインが魅力です！
ぐっち
丸顔イエベ
寄り目
東京ドームシティ・ラクーア店
#男性におすすめ
#女性におすすめ
#ユニセックスにおすすめ
#イエベ向け
#ヴィンテージ風
#カジュアル
#メガネ",ぐっち.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56559264
こーき,松本アイシティ21店,面長,イエベ,普通,,"#レンズ知識, #フィッティング, #黒縁, #太縁, #男性におすすめ, #女性におすすめ, #キャンプ, #犬好き, #写真, #美容","スタッフコメント
2025.11.17
【太縁で存在感を楽しむオシャレメガネ】

男女問わず使いやすい太縁フレーム。
シンプルながらボリューム感があり、かけるだけでスタイリングのアクセントになります。

街歩きなどのカジュアルなシーンでもしっかり映えてくれるデザイン。
伊達メガネとしても取り入れやすく、普段のファッションに自然と馴染みます。

さらに、太縁のため“レンズの厚みが目立ちにくい”メリットもあり、強度数の方にもおすすめ。
実用性とデザイン性のどちらも叶える一本です。

気軽におしゃれを楽しみたい方にぜひ✨
こーき
面長顔イエベ
普通
松本アイシティ21店
#男性におすすめ
#女性におすすめ
#ユニセックスにおすすめ
#初心者におすすめ
#アウトドアにおすすめ
#黒縁
#太縁
#カジュアル
#丸顔におすすめ
#面長顔におすすめ
#日常使いにおすすめ
#強度数におすすめ",こーき.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=55611134
kitsune,ルミネ有楽町店,,イエベ,離れ目,,"#加工技術, #カラーレンズ知識, #フレンチ, #トレンド, #学習用, #スポーツ, #写真, #アニメ, #スニーカー","Hyogo⇨Tokyo

158cm

イエベ春

INFP

Zoff歴3年目です👀",kitsune.jpeg,https://www.zoff.co.jp/shop/contents/staff_list_detail.aspx?staff_id=128776
いぐろ,下北沢店,面長,イエベ,普通,,"#レンズ知識, #お子様メガネ, #お仕事にも使える, #カジュアル, #ユニセックスにおすすめ, #初心者におすすめ, #料理, #ゲーム, #映画鑑賞","スタッフコメント
2025.12.12
SNSで話題！中顔面短縮みえメガネ！

顔なじみの良さと快適な掛け心地を実現したボストン型。
大きめサイズのフレームは、抜け感が出る上に小顔効果も期待できます。
いぐろ
面長顔イエベ
普通
下北沢店
#ユニセックスにおすすめ
#初心者におすすめ
#お仕事にも使える
#カジュアル",いぐろ.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56555675
イト,イオンモール各務原インター店,,イエベ,普通,,"#遠近両用, #調整技術, #お仕事にも使える, #イエベ向け, #男性におすすめ, #女性におすすめ, #キャンプ, #犬好き, #アート","スタッフコメント
2025.12.12
顔馴染みの良いグレーフレームです❤️‍🔥
イエベさんにはもってこいのカラーです！

軽量素材で長時間掛けていてもストレスがないです☺️👏

眼鏡初心者🔰の方でも試しやすいサイズ感、色味となっております^ - ^

是非、試してみて下さい🦭💨

イト
卵顔イエベ
普通
イオンモール各務原インター店
#男性におすすめ
#女性におすすめ
#ユニセックスにおすすめ
#初心者におすすめ
#お仕事にも使える
#おうち用におすすめ
#イエベ向け
#カジュアル
#中顔面短縮みえ
#メガネ
#卵顔におすすめ
#プラスチック",イト.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56541156
にょろ,本社,丸顔,イエベ,普通,,"#お子様メガネ, #遠近両用, #お仕事にも使える, #キレイめ, #女性におすすめ, #初心者におすすめ, #読書, #音楽鑑賞, #猫好き, #キャンプ","スタッフコメント
2025.12.04
レザー風テンプルのデザインが
アクセントで、さりげないお洒落感を演出✨

キレイめな印象を与えてくれ、
オフィスから日常まで幅広いシーンで役立ちます。

派手そうに見える青も、
さりげない個性を演出しながら
かけると派手すぎず、上品さをキープ。
にょろ
丸顔イエベ
普通
本社
#女性におすすめ
#初心者におすすめ
#お仕事にも使える
#キレイめ
#スタイリッシュ
#ラバテン
#メガネ
#メタル",にょろ.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56254711
つなかん,大船ルミネウィング店,丸顔,イエベ,普通,,"#カラーレンズ知識, #コンタクト併用相談, #ミニマル, #韓国ファッション, #学習用, #花粉対策, #サウナ, #映画鑑賞, #写真","📍神奈川県出身｜販売歴6年目
👓 メガネ選びをもっと楽しく、ハッピーに✨
🔥 STAFF OF THE YEAR 2025 物販部門 第2位 🥈

📏 159cm
🎨 パーソナルカラー：イエベ春（2nd ブルベ冬）
💎 骨格タイプ：ストレート
💖 顔タイプ：キュート",つなかん.jpeg,https://www.zoff.co.jp/shop/contents/staff_list_detail.aspx?staff_id=124949
osae,ルミネエスト新宿店,面長,ブルベ,寄り目,,"#レンズ知識, #修理マイスター, #お仕事にも使える, #イエベ向け, #女性におすすめ, #ユニセックスにおすすめ, #美容, #アニメ, #写真","スタッフコメント
2025.12.07
テンプル部分がマットな質感になっているので、大人ぽく上品なデザインです。

お手持ちのシルバーやゴールドアクセサリーどちら合わせられる落ち着いたデザインなので、普段使いもしていただきやすいです✨
osae
面長顔ブルベ
寄り目
ルミネエスト新宿店
#女性におすすめ
#ユニセックスにおすすめ
#初心者におすすめ
#上級者におすすめ
#お仕事にも使える
#イエベ向け
#ブルベ向け
#キレイめ",osae.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56335548
みすず,ディアモール大阪店,,イエベ,普通,,"#遠近両用, #カラーレンズ知識, #韓国ファッション, #ブルベ夏, #おうち時間, #リモートワーク, #スニーカー, #映画鑑賞, #キャンプ",Zoffディアモール大阪店スタッフです！,みすず.jpeg,https://www.zoff.co.jp/shop/contents/staff_list_detail.aspx?staff_id=124980
ユーハ,ららぽーと名古屋みなとアクルス店,丸顔,イエベ,普通,,"#調整技術, #強度近視相談, #カジュアル, #メガネ, #初心者におすすめ, #運転, #カフェ巡り, #キャンプ, #映画鑑賞, #サウナ","スタッフコメント
2025.12.08
グラデーションカラーが映える、王道のウェリントンタイプのメガネ。

どんな顔立ちにも自然と馴染み、長く愛用できるデザインと機能性を兼ね備えています。

最初の一本にもオススメなフレームです。
ユーハ
丸顔イエベ
普通
ららぽーと名古屋みなとアクルス店
#初心者におすすめ
#カジュアル
#メガネ
#プラスチック",ユーハ.jpeg,https://www.zoff.co.jp/shop/contents/staff_gallery_detail.aspx?cid=56387690
